ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
5383,beta,medium,54.36,75.36,224,1
5384,beta,low,65.25,36.98,42,1
5385,alpha,low,39.3,28.01,264,1
5386,alpha,medium,68.79,29.71,341,1
5387,alpha,low,59.35,16.02,299,1
5388,beta,low,34.69,44.68,71,1
5389,beta,medium,42.24,99.73,290,0
5390,beta,high,36.63,75.98,494,0
5391,beta,low,38.49,10.68,109,1
5392,beta,high,48.64,97.16,319,0
5393,alpha,high,63.78,77.16,308,1
5394,beta,low,47.08,35.94,209,0
5395,beta,high,44.66,25.21,70,1
5396,beta,medium,51.99,30.56,382,1
5397,alpha,medium,40.14,93.44,67,1
5398,beta,low,67.7,48.85,454,1
5399,beta,low,30.88,32.68,29,0
5400,beta,high,69.31,77.06,473,1
5401,alpha,medium,40.44,23.99,136,0
5402,beta,medium,42.93,38.24,194,1
5403,beta,low,57.78,82.24,167,0
5404,beta,high,61.27,21.96,450,0
5405,beta,medium,61.69,18.96,118,1
5406,beta,low,84.68,87.03,100,0
5407,alpha,medium,65.63,99.34,428,1
5408,beta,low,50.01,73.28,198,0
5409,alpha,high,38.43,98.35,400,0
5410,alpha,high,64.88,20.46,352,0
5411,alpha,low,69.26,49.29,193,1
5412,beta,high,47.63,63.59,186,1
5413,alpha,medium,54.87,26.06,297,1
5414,alpha,low,46.95,7.44,19,0
5415,alpha,medium,30.95,20.29,382,0
5416,beta,medium,49.96,46.18,203,1
5417,alpha,low,50.13,38.98,269,0
5418,beta,medium,53.98,17.69,278,0
5419,alpha,high,71.98,52.56,488,1
5420,beta,high,54.43,3.48,391,0
5421,beta,high,49.63,34.17,113,1
5422,beta,low,46.08,88.18,417,1
5423,beta,high,56.44,0.74,322,1
5424,beta,low,37.95,89.18,464,0
5425,alpha,high,56.14,53.76,496,1
5426,alpha,high,30.93,72.02,187,0
5427,beta,high,40.95,92.8,143,1
5428,alpha,medium,37.83,9.24,114,1
5429,beta,high,64.93,67.68,302,1
5430,beta,low,64.47,28.26,212,1
5431,alpha,high,50.81,83.26,299,1
5432,beta,medium,46.03,78.95,379,1
5433,beta,low,71.48,78.95,317,1
5434,beta,low,59.45,36.58,226,1
5435,beta,high,56.59,99.04,419,1
5436,beta,medium,44.7,75.77,295,1
5437,alpha,medium,44.41,43.99,129,0
5438,alpha,high,44.94,99.58,379,0
5439,beta,high,56.79,24.23,369,0
5440,beta,medium,42.18,31.17,44,1
5441,alpha,low,50.48,90.26,403,0
5442,beta,medium,45.4,69.64,137,1
5443,beta,high,43.98,65.74,136,0
5444,beta,medium,51.16,41.49,4,0
5445,beta,high,46.19,66.52,207,0
5446,alpha,medium,33.6,29.48,287,1
5447,alpha,high,40.54,21.96,435,0
5448,beta,high,46.78,98.96,334,1
5449,alpha,high,67.05,75.57,390,0
5450,beta,high,28.77,69.53,409,0
5451,alpha,low,44.66,14.59,388,0
5452,alpha,medium,52.54,39.02,56,1
5453,alpha,high,53.18,81.85,101,0
5454,alpha,medium,43.3,66.87,423,0
5455,beta,medium,31.31,93.41,259,0
5456,alpha,high,51.71,45.81,209,1
5457,beta,medium,41.02,81.36,9,0
5458,alpha,medium,46.81,16.38,400,0
5459,alpha,medium,71.9,97.02,438,1
5460,beta,low,37.08,97.5,419,0
5461,beta,medium,35.34,28.72,73,1
5462,beta,high,57.74,57.54,99,1
5463,alpha,high,57.81,41.41,158,0
5464,alpha,low,37.32,13.15,433,1
5465,alpha,medium,56.63,44.5,197,1
5466,beta,low,64.22,56.53,358,1
5467,beta,medium,66.41,74.46,239,1
5468,alpha,low,53.85,61.24,122,0
5469,alpha,low,20.72,20.97,411,1
5470,beta,medium,53.31,88.42,94,0
5471,alpha,medium,63.81,42.63,152,0
5472,alpha,medium,45.57,3.84,139,1
5473,alpha,medium,49.59,19.22,468,0
5474,beta,low,52.09,88.3,15,1
5475,beta,medium,59.48,78.92,464,0
5476,alpha,high,59.7,26.8,155,0
5477,beta,high,50.08,34.59,325,1
5478,alpha,high,50.72,63.56,145,1
5479,beta,high,54.62,49.74,483,1
5480,alpha,medium,49.28,16.89,269,0
5481,beta,high,67.32,36.27,454,1
5482,beta,high,70.73,6.09,239,1
5483,alpha,low,1.0,94.66,379,1
5484,alpha,medium,50.56,26.56,275,1
5485,beta,medium,39.45,11.52,492,0
5486,alpha,low,53.61,2.79,278,0
5487,alpha,medium,69.63,70.2,19,1
5488,alpha,high,59.79,55.33,39,1
5489,alpha,low,61.74,88.21,277,1
5490,beta,high,56.47,76.69,276,0
5491,alpha,low,58.02,46.49,74,1
5492,beta,high,40.18,16.27,339,1
5493,alpha,medium,76.06,46.68,299,0
5494,beta,high,49.91,25.22,148,0
5495,alpha,medium,42.68,92.29,377,1
5496,alpha,high,62.48,40.86,17,1
5497,alpha,medium,67.0,21.52,339,1
5498,beta,high,22.39,71.97,292,0
5499,alpha,low,35.19,17.94,453,1
5500,alpha,low,52.14,20.74,70,1
5501,beta,low,30.5,2.61,334,0
5502,beta,medium,51.67,39.67,387,0
5503,beta,high,45.59,85.31,165,1
5504,alpha,high,55.07,50.28,493,0
5505,alpha,high,19.76,70.09,428,0
5506,alpha,low,67.31,30.99,270,1
5507,alpha,medium,65.52,14.52,385,1
5508,beta,high,50.6,60.95,170,1
5509,beta,medium,49.55,78.71,79,1
5510,alpha,medium,58.84,65.62,448,1
5511,beta,low,57.44,5.33,202,1
5512,beta,low,43.67,88.0,185,1
5513,alpha,medium,50.86,97.09,26,0
5514,alpha,high,47.82,60.63,284,0
5515,alpha,high,35.31,0.82,330,1
5516,alpha,medium,72.77,75.33,225,1
5517,beta,medium,57.04,44.17,15,0
5518,beta,high,56.18,50.66,321,1
5519,beta,high,34.57,19.9,241,0
5520,beta,low,38.02,0.65,29,0
5521,alpha,high,34.7,4.62,173,0
5522,beta,medium,59.23,75.27,363,1
5523,beta,high,55.54,87.17,205,0
5524,beta,high,12.62,24.68,213,0
5525,alpha,high,58.06,88.56,156,1
5526,alpha,high,46.27,12.39,485,1
5527,alpha,low,83.63,66.61,392,0
5528,beta,low,46.5,52.59,339,1
5529,beta,medium,48.4,3.48,123,0
5530,beta,medium,45.89,99.48,191,1
5531,alpha,high,61.34,85.47,71,0
5532,beta,medium,72.13,12.88,172,0
5533,alpha,low,38.12,11.71,419,0
5534,beta,high,50.46,85.65,227,1
5535,beta,medium,62.22,51.63,391,0
5536,beta,medium,43.42,93.69,322,1
5537,beta,high,58.57,80.77,429,1
5538,alpha,low,47.96,80.92,185,1
5539,beta,low,59.98,99.85,150,0
5540,beta,medium,49.89,25.4,188,0
5541,alpha,high,37.99,13.01,463,1
5542,beta,medium,39.62,17.68,435,1
5543,alpha,low,44.92,27.12,358,1
5544,beta,low,70.65,12.36,342,1
5545,beta,low,38.72,49.08,92,1
5546,beta,high,51.3,93.55,261,1
5547,beta,high,79.83,18.55,12,0
5548,beta,high,40.85,89.82,74,0
5549,alpha,medium,43.27,62.27,326,1
5550,alpha,high,56.76,78.46,436,0
5551,beta,high,26.01,34.63,81,1
5552,alpha,low,56.28,14.81,453,0
5553,beta,low,61.76,12.12,474,1
5554,beta,low,41.14,70.32,257,0
5555,beta,medium,44.37,33.2,308,1
5556,beta,medium,56.8,32.9,143,1
5557,alpha,medium,73.92,44.49,125,1
5558,beta,medium,67.38,60.18,26,1
5559,alpha,medium,69.05,91.21,206,1
5560,beta,high,62.06,17.47,269,1
5561,beta,medium,17.97,37.9,373,0
5562,alpha,low,57.93,96.17,219,0
5563,beta,medium,24.84,62.8,132,0
5564,alpha,high,60.59,17.1,263,0
5565,alpha,medium,22.89,21.6,466,0
5566,alpha,medium,50.74,13.09,86,1
5567,beta,low,51.5,81.56,55,1
5568,alpha,medium,58.7,97.58,421,1
5569,beta,low,64.55,82.41,382,1
5570,alpha,low,73.26,9.3,254,1
5571,alpha,medium,38.08,16.54,307,1
5572,beta,high,85.46,75.16,118,1
5573,beta,medium,67.35,98.99,75,1
5574,alpha,high,53.93,29.3,460,1
5575,alpha,high,46.77,31.09,494,0
5576,alpha,medium,55.79,18.93,171,1
5577,alpha,low,42.41,50.32,308,1
5578,alpha,medium,34.25,48.42,320,1
5579,alpha,high,47.61,87.3,445,1
5580,beta,low,28.4,40.46,13,0
5581,beta,high,49.08,57.86,364,1
5582,alpha,high,63.94,7.76,467,1
5583,alpha,medium,83.15,20.61,129,1
5584,beta,high,78.13,36.72,486,1
5585,alpha,medium,61.37,92.05,250,1
5586,beta,low,42.32,37.35,487,1
5587,alpha,high,58.87,17.92,224,1
5588,alpha,low,39.95,15.15,31,0
5589,alpha,high,51.1,95.3,388,1
5590,beta,medium,42.52,0.77,295,1
5591,alpha,high,37.36,48.36,350,1
5592,beta,low,55.74,84.46,307,1
5593,alpha,high,26.23,27.58,98,1
5594,beta,low,57.48,90.7,115,1
5595,beta,low,16.84,59.86,125,1
5596,alpha,medium,77.22,3.63,424,1
5597,alpha,high,39.11,6.11,435,1
5598,beta,high,5.3,45.02,51,0
5599,alpha,medium,50.19,46.65,17,1
5600,alpha,medium,56.07,61.66,91,0
5601,alpha,medium,47.3,86.19,437,0
5602,alpha,medium,41.73,41.38,314,0
5603,alpha,high,48.76,93.55,171,1
5604,alpha,low,45.26,37.7,280,0
5605,alpha,high,42.37,89.29,336,1
5606,alpha,low,49.44,56.42,292,0
5607,alpha,high,43.54,70.43,26,1
5608,alpha,high,58.26,94.51,36,1
5609,beta,low,50.98,9.1,385,0
5610,beta,low,79.63,52.57,396,0
5611,alpha,low,54.89,21.93,33,1
5612,beta,medium,30.85,82.11,228,1
5613,alpha,low,42.06,74.08,182,1
5614,alpha,medium,37.67,8.12,183,0
5615,alpha,medium,62.99,42.16,337,1
5616,alpha,medium,57.2,70.13,249,1
5617,beta,low,42.9,39.23,353,1
5618,alpha,high,36.67,3.76,21,0
5619,beta,low,34.08,76.94,48,1
5620,alpha,medium,56.88,62.75,290,0
5621,beta,high,28.53,12.32,135,0
5622,beta,low,58.27,20.9,95,0
5623,alpha,high,41.44,58.52,349,1
5624,beta,low,73.51,60.83,430,0
5625,beta,high,38.47,1.25,191,1
5626,alpha,high,64.44,36.16,23,0
5627,alpha,high,31.78,75.95,75,1
5628,beta,high,26.26,73.68,203,0
5629,beta,medium,75.67,93.78,109,1
5630,alpha,low,33.05,86.71,72,1
5631,alpha,medium,70.44,58.83,78,1
5632,beta,high,46.7,37.31,112,0
5633,beta,medium,43.96,52.93,405,1
5634,beta,medium,38.49,11.86,346,1
5635,alpha,high,67.02,1.86,28,1
5636,alpha,low,43.57,49.42,108,1
5637,beta,low,81.93,1.4,115,1
5638,beta,high,53.05,29.79,398,1
5639,beta,medium,54.69,96.83,276,1
5640,beta,high,59.9,25.75,267,1
5641,alpha,low,31.46,76.13,15,1
5642,beta,low,48.38,90.16,101,0
5643,alpha,low,66.21,40.98,349,1
5644,beta,medium,27.83,78.21,480,0
5645,beta,low,41.71,68.35,451,0
5646,alpha,low,41.76,49.42,106,0
5647,alpha,high,51.14,14.82,72,1
5648,alpha,high,55.8,73.6,317,1
5649,alpha,medium,64.94,33.96,296,1
5650,beta,low,67.43,25.19,19,1
5651,alpha,high,65.8,78.93,337,1
5652,alpha,low,67.75,74.42,99,1
5653,beta,low,49.94,43.56,388,1
5654,beta,high,60.72,99.69,94,1
5655,beta,low,58.1,29.56,149,0
5656,beta,low,61.91,43.0,214,1
5657,beta,high,42.4,79.14,153,1
5658,beta,low,53.06,13.48,227,0
5659,beta,medium,54.96,23.1,189,1
5660,alpha,medium,69.18,34.91,191,0
5661,beta,medium,75.97,24.36,50,0
5662,alpha,medium,66.97,1.5,307,1
5663,beta,low,69.01,19.65,168,1
5664,alpha,medium,66.03,71.9,88,1
5665,beta,medium,67.13,95.43,71,1
5666,alpha,medium,44.1,73.1,248,0
5667,beta,medium,59.16,17.23,352,1
5668,beta,medium,45.79,15.28,474,1
5669,alpha,high,44.21,46.69,285,1
5670,beta,high,61.14,13.98,444,1
5671,beta,low,43.48,63.76,183,0
5672,alpha,low,40.22,71.43,437,0
5673,beta,low,40.14,5.86,83,0
5674,beta,low,54.48,79.43,311,0
5675,alpha,medium,41.52,41.78,111,0
5676,beta,medium,56.19,38.07,42,0
5677,beta,low,48.77,29.05,475,1
5678,beta,medium,51.0,48.74,260,1
5679,alpha,high,39.54,59.2,247,1
5680,alpha,low,61.89,50.57,32,0
5681,beta,medium,70.92,31.79,239,1
5682,beta,high,61.34,92.73,303,1
5683,beta,medium,50.69,3.27,178,0
5684,beta,medium,54.98,52.84,252,0
5685,alpha,high,52.81,47.64,76,0
5686,alpha,low,48.83,2.65,21,1
5687,beta,high,55.04,50.73,262,1
5688,alpha,low,61.45,13.78,96,1
5689,beta,low,69.61,6.64,286,1
5690,beta,low,55.62,81.16,192,1
5691,beta,low,28.54,12.95,477,0
5692,alpha,medium,45.33,17.01,165,0
5693,alpha,medium,50.09,53.13,142,0
5694,alpha,high,61.57,18.0,101,1
5695,beta,medium,49.46,29.44,457,1
5696,beta,low,69.7,80.82,417,0
5697,alpha,medium,55.57,74.8,413,1
5698,alpha,high,45.37,16.0,345,0
5699,alpha,medium,66.63,37.71,257,1
5700,alpha,medium,37.22,77.53,70,1
5701,alpha,low,68.07,88.62,335,0
5702,alpha,low,48.51,38.63,373,1
5703,alpha,high,39.44,44.67,84,0
5704,alpha,medium,37.32,49.92,154,0
5705,alpha,low,85.4,52.04,119,1
5706,beta,low,43.02,89.12,197,1
5707,alpha,low,58.79,83.14,163,1
5708,beta,medium,34.93,34.03,123,0
5709,beta,high,47.45,23.76,26,1
5710,alpha,medium,45.12,92.08,371,1
5711,beta,high,39.69,59.25,202,0
5712,alpha,medium,35.31,31.66,94,1
5713,alpha,medium,59.47,59.62,8,0
5714,alpha,low,32.28,78.72,360,1
5715,alpha,low,78.78,96.29,88,1
5716,alpha,low,40.67,14.25,166,0
5717,beta,medium,87.29,93.12,493,1
5718,alpha,low,40.14,44.11,442,1
5719,beta,high,44.13,78.49,165,1
5720,alpha,low,43.41,12.97,495,1
5721,beta,high,29.29,20.9,400,0
5722,alpha,medium,57.06,83.63,130,1
5723,beta,medium,56.98,96.39,239,1
5724,beta,high,65.67,86.25,284,1
5725,beta,high,64.32,33.0,174,1
5726,alpha,low,44.5,86.42,27,0
5727,beta,low,66.46,69.61,278,1
5728,alpha,high,78.75,43.29,115,0
5729,beta,medium,48.37,52.83,11,0
5730,beta,low,64.77,88.17,351,1
5731,alpha,high,8.06,63.05,136,1
5732,alpha,medium,27.7,45.66,203,1
5733,alpha,high,38.18,29.03,375,1
5734,alpha,high,34.57,8.29,452,1
5735,beta,medium,50.63,93.5,59,0
5736,alpha,low,31.16,18.38,228,0
5737,alpha,high,52.84,72.71,3,0
5738,beta,medium,55.81,78.74,51,1
5739,beta,medium,32.27,10.96,205,0
5740,alpha,low,52.96,10.46,305,0
5741,beta,medium,49.16,36.05,364,1
5742,alpha,medium,52.22,0.28,99,0
5743,alpha,low,57.99,42.86,52,0
5744,beta,high,71.28,47.52,374,1
5745,alpha,high,21.41,88.8,340,1
5746,beta,high,25.64,56.12,378,0
5747,beta,medium,74.46,79.27,80,0
5748,alpha,medium,40.7,84.54,217,1
5749,beta,high,39.34,26.1,124,0
5750,alpha,low,56.42,32.4,29,0
5751,alpha,high,27.58,56.16,264,0
5752,alpha,high,25.95,45.04,382,1
5753,beta,low,62.35,60.68,415,0
5754,beta,medium,38.86,10.19,457,0
5755,beta,high,15.38,71.26,460,0
5756,beta,high,27.76,22.71,24,1
5757,beta,high,58.3,15.66,136,1
5758,alpha,low,38.33,95.35,461,1
5759,alpha,low,33.04,35.56,335,1
5760,beta,medium,29.34,71.7,299,0
5761,alpha,low,84.56,1.18,462,1
5762,beta,low,36.73,93.82,146,1
5763,beta,high,66.28,31.52,406,0
5764,alpha,high,64.97,63.57,493,1
5765,alpha,low,31.74,97.85,483,1
5766,beta,low,63.92,14.5,262,0
5767,beta,high,50.36,28.45,237,1
5768,alpha,low,17.86,85.66,72,1
5769,alpha,medium,48.36,71.06,238,1
5770,alpha,high,42.2,72.62,405,1
5771,beta,high,42.14,48.69,449,0
5772,alpha,high,25.74,25.67,70,0
5773,alpha,high,16.8,57.11,274,1
5774,alpha,low,48.51,98.9,254,1
5775,alpha,medium,54.92,23.77,11,1
5776,beta,low,65.46,17.0,280,1
5777,alpha,high,54.85,71.15,156,0
5778,beta,medium,61.81,44.3,16,0
5779,alpha,high,71.65,27.15,379,1
5780,alpha,low,47.97,93.05,9,1
5781,beta,low,54.38,48.05,42,0
5782,alpha,medium,65.07,7.89,423,0
5783,alpha,low,51.42,63.89,494,1
5784,beta,medium,39.98,53.9,413,0
5785,alpha,low,82.31,67.97,493,1
5786,alpha,medium,28.94,20.29,219,0
5787,beta,medium,89.46,2.32,352,0
5788,beta,medium,57.79,12.35,364,0
5789,alpha,medium,39.2,72.82,172,1
5790,beta,high,37.06,18.3,183,1
5791,alpha,high,49.29,33.08,496,1
5792,beta,low,47.69,49.67,292,0
5793,beta,medium,70.87,60.57,224,1
5794,beta,medium,79.22,28.45,353,0
5795,alpha,high,61.69,45.05,133,1
5796,beta,medium,41.82,3.84,6,0
5797,beta,medium,44.78,42.23,46,1
5798,alpha,low,57.87,71.81,188,0
5799,beta,low,43.94,29.27,76,0
5800,alpha,high,47.83,23.11,443,1
5801,alpha,high,27.57,49.78,199,0
5802,alpha,low,54.26,30.62,189,0
5803,beta,medium,44.04,76.88,35,1
5804,alpha,low,31.83,23.42,260,0
5805,alpha,high,61.65,51.45,5,0
5806,alpha,high,65.1,29.31,27,1
5807,beta,low,32.44,16.27,9,0
5808,alpha,low,34.83,63.29,14,1
5809,alpha,medium,35.38,68.57,270,1
5810,beta,medium,61.55,85.28,195,1
5811,beta,medium,66.04,95.06,227,1
5812,alpha,high,43.31,44.99,3,1
5813,alpha,low,51.73,0.94,463,0
5814,beta,high,36.37,63.28,391,0
5815,alpha,high,50.81,15.27,226,1
5816,beta,medium,23.06,68.23,91,0
5817,beta,low,41.65,65.89,348,0
5818,beta,low,54.29,76.28,165,1
5819,alpha,medium,42.0,88.74,450,1
5820,beta,high,59.02,67.64,287,0
5821,beta,low,64.28,71.56,148,0
5822,beta,low,63.64,29.89,227,1
5823,alpha,high,33.85,35.87,362,0
5824,alpha,high,53.04,92.91,210,1
5825,alpha,low,41.78,98.19,463,0
5826,alpha,medium,33.75,36.4,310,1
5827,alpha,low,62.82,70.56,273,0
5828,alpha,low,64.76,93.17,376,1
5829,alpha,high,53.86,27.67,206,1
5830,alpha,medium,27.34,92.09,141,1
5831,alpha,medium,79.21,65.63,56,1
5832,alpha,medium,47.95,63.02,3,0
5833,alpha,low,49.35,2.01,363,0
5834,beta,medium,31.74,39.72,177,0
5835,alpha,medium,40.32,3.08,457,0
5836,alpha,high,57.19,11.79,54,0
5837,beta,low,51.81,79.49,230,1
5838,beta,high,62.92,34.87,24,1
5839,beta,high,49.76,67.43,35,1
5840,alpha,medium,43.56,59.91,185,1
5841,beta,high,61.03,20.58,473,0
5842,beta,low,62.05,70.13,412,1
5843,alpha,medium,59.79,5.52,292,1
5844,alpha,high,10.76,93.67,235,0
5845,alpha,low,56.12,43.49,327,1
5846,beta,medium,61.99,16.05,317,0
5847,alpha,low,27.87,67.29,415,1
5848,beta,medium,44.29,5.27,221,0
5849,alpha,high,50.99,5.29,437,0
5850,alpha,high,63.91,98.82,490,1
5851,beta,medium,68.5,26.57,16,0
5852,beta,high,12.1,87.47,118,1
5853,alpha,low,41.38,16.32,107,1
5854,alpha,medium,30.76,25.61,40,1
5855,alpha,medium,52.89,77.03,469,1
5856,alpha,low,50.5,33.92,302,0
5857,alpha,medium,70.04,20.81,109,1
5858,beta,high,47.19,70.59,71,1
5859,alpha,low,41.75,84.3,141,0
5860,alpha,medium,69.33,94.58,418,0
5861,alpha,high,53.48,35.84,429,0
5862,alpha,high,54.58,36.67,453,1
5863,beta,high,71.89,30.8,175,0
5864,alpha,low,49.54,53.51,42,0
5865,alpha,low,44.79,2.05,461,1
5866,beta,high,48.65,34.91,152,0
5867,alpha,high,74.37,77.61,299,1
5868,beta,medium,38.64,57.72,389,1
5869,alpha,medium,66.14,98.33,52,1
5870,beta,medium,70.69,59.79,268,1
5871,beta,medium,65.1,71.13,143,0
5872,beta,low,63.79,54.57,264,1
5873,beta,high,37.22,76.4,289,0
5874,alpha,medium,19.32,67.89,186,1
5875,alpha,medium,69.84,24.17,278,1
5876,alpha,medium,63.16,81.23,395,1
5877,alpha,medium,52.07,11.16,416,1
5878,beta,low,32.84,23.56,229,1
5879,beta,high,58.19,93.87,228,1
5880,alpha,low,71.28,16.69,462,1
5881,beta,low,38.14,96.2,187,1
5882,alpha,high,31.12,38.82,489,1
5883,alpha,medium,29.4,32.05,290,0
5884,beta,medium,38.74,80.22,309,0
5885,beta,low,78.61,37.89,461,1
5886,beta,high,56.6,77.11,476,0
5887,beta,low,21.95,6.49,230,1
5888,alpha,medium,30.87,74.53,184,1
5889,alpha,low,60.13,34.27,433,1
5890,beta,medium,39.34,83.25,418,0
5891,beta,medium,26.8,93.79,320,1
5892,beta,medium,66.71,29.8,179,1
5893,alpha,low,34.64,39.86,76,1
5894,alpha,high,36.55,72.56,117,0
5895,alpha,low,62.46,58.91,41,1
5896,beta,low,41.0,27.94,465,0
5897,alpha,low,71.07,95.36,364,1
5898,beta,low,72.78,27.17,328,1
5899,beta,medium,28.23,56.07,9,1
5900,alpha,high,56.72,15.43,190,1
5901,beta,high,44.72,3.34,116,0
5902,alpha,low,39.81,11.54,212,0
5903,beta,low,15.75,66.4,141,1
5904,alpha,medium,69.02,64.16,233,1
5905,alpha,low,52.65,54.93,279,1
5906,beta,medium,37.81,2.02,109,0
5907,alpha,high,52.7,55.64,114,1
5908,beta,high,60.56,25.63,296,1
5909,alpha,high,64.31,94.22,382,1
5910,alpha,low,47.18,11.08,170,1
5911,alpha,high,40.14,93.13,454,1
5912,beta,low,41.08,82.17,335,0
5913,beta,medium,48.88,61.72,257,0
5914,beta,low,39.57,82.55,432,1
5915,beta,low,44.07,49.98,321,1
5916,beta,low,38.89,72.73,4,0
5917,alpha,low,19.61,0.88,420,0
5918,beta,low,96.75,76.55,356,0
5919,alpha,low,60.65,80.9,78,1
5920,beta,medium,44.92,88.85,388,1
5921,beta,high,61.78,20.01,284,0
5922,alpha,low,51.89,34.13,61,1
5923,alpha,low,48.14,55.05,91,0
5924,beta,high,37.58,2.6,215,1
5925,beta,high,64.81,64.17,461,1
5926,alpha,medium,19.44,70.05,160,0
5927,beta,high,63.57,58.14,122,1
5928,beta,low,65.81,18.63,15,0
5929,alpha,high,35.02,64.35,491,1
5930,alpha,high,30.44,2.32,490,1
5931,beta,medium,29.69,20.26,336,0
5932,beta,medium,59.21,18.73,6,1
5933,alpha,low,64.45,25.18,449,1
5934,alpha,medium,53.16,3.81,399,1
5935,alpha,medium,57.36,1.26,447,1
5936,alpha,low,22.91,41.73,295,0
5937,alpha,medium,48.58,91.85,499,1
5938,beta,high,61.92,52.96,301,1
5939,beta,high,60.38,45.74,17,0
5940,alpha,low,40.96,48.76,440,0
5941,alpha,low,71.12,9.88,93,1
5942,alpha,medium,53.5,73.69,45,1
5943,beta,high,78.34,78.64,465,0
5944,beta,low,50.66,7.17,211,0
5945,beta,medium,38.83,7.36,470,0
5946,alpha,high,52.65,98.96,22,1
5947,alpha,medium,42.1,20.59,28,1
5948,beta,low,64.74,69.09,462,0
5949,beta,high,70.68,37.45,149,1
5950,alpha,medium,45.18,39.43,183,0
5951,alpha,medium,62.32,20.37,371,0
5952,beta,medium,30.5,95.7,133,0
5953,beta,low,50.05,86.45,126,0
5954,alpha,high,49.97,82.58,65,0
5955,beta,medium,51.51,62.51,110,1
5956,beta,low,31.43,78.56,357,1
5957,beta,low,60.29,46.37,98,1
5958,alpha,high,64.51,84.96,77,1
5959,alpha,medium,50.16,12.81,359,0
5960,beta,medium,68.12,47.54,258,0
5961,alpha,medium,65.79,93.53,84,1
5962,alpha,medium,53.07,26.12,180,1
5963,beta,medium,35.35,24.17,410,1
5964,alpha,medium,40.88,53.36,256,0
5965,alpha,low,83.69,90.58,442,1
5966,beta,high,52.29,74.21,322,0
5967,alpha,medium,55.93,5.03,115,0
5968,beta,low,51.12,9.88,432,0
5969,beta,high,38.01,38.98,22,0
5970,beta,medium,57.87,5.39,203,0
5971,alpha,high,34.01,28.3,11,1
5972,beta,low,61.79,9.38,165,0
5973,alpha,medium,52.19,31.62,164,1
5974,alpha,high,47.06,88.15,291,1
5975,alpha,high,41.6,34.5,190,1
5976,beta,low,51.4,2.66,45,1
5977,alpha,high,41.91,30.28,134,1
5978,alpha,low,50.4,35.6,19,1
5979,alpha,high,44.89,99.03,82,1
5980,beta,medium,43.21,98.98,33,1
5981,alpha,medium,28.56,0.2,423,1
5982,beta,low,23.89,46.3,165,1
5983,beta,high,53.42,51.86,116,1
5984,alpha,medium,60.54,78.98,120,0
5985,beta,medium,45.61,98.58,316,1
5986,alpha,low,45.18,11.05,143,1
5987,beta,high,49.22,23.18,304,1
5988,alpha,medium,44.08,91.81,349,0
5989,beta,high,47.7,97.58,406,1
5990,alpha,high,61.05,19.24,306,0
5991,beta,medium,52.85,68.79,273,1
5992,alpha,low,54.47,13.1,341,1
5993,alpha,low,51.94,64.74,86,1
5994,alpha,medium,29.27,14.59,484,0
5995,beta,medium,44.35,15.36,209,0
5996,alpha,low,55.97,46.1,267,0
5997,alpha,low,34.29,37.32,340,0
5998,alpha,medium,33.42,84.56,290,1
5999,alpha,high,74.45,52.36,130,1
6000,beta,high,41.89,95.86,393,1
6001,beta,high,33.27,79.99,430,0
6002,beta,medium,40.37,99.87,495,1
6003,alpha,low,44.31,35.68,499,1
6004,beta,medium,55.87,98.63,329,0
6005,beta,high,64.16,67.34,332,1
6006,beta,high,54.54,80.58,295,1
6007,beta,high,46.72,41.91,157,0
6008,alpha,high,81.17,90.24,252,1
6009,alpha,high,32.03,52.76,396,1
6010,beta,medium,41.28,64.54,168,1
6011,beta,low,52.25,41.11,266,1
6012,beta,medium,58.02,98.0,109,0
6013,alpha,high,56.08,25.51,442,0
6014,beta,medium,79.33,48.31,394,1
6015,beta,medium,27.01,97.29,356,1
6016,alpha,medium,19.43,95.73,447,1
6017,alpha,high,59.23,82.81,146,1
6018,beta,low,28.89,37.93,48,1
6019,beta,low,35.19,36.27,24,0
6020,beta,low,51.13,95.5,178,1
6021,beta,medium,69.71,35.04,253,0
6022,alpha,low,24.2,50.67,264,1
6023,alpha,medium,70.02,21.97,429,1
6024,beta,high,42.55,29.89,343,1
